au_id,ARTICLES,DURATION,ARTIPERYEAR,DEGREE-I,DEGREE-O,CLOSS-I,CLOSS-O,BETT,HITS-HUB,HITS-AUT,SH-EFF,SH-ES,SH-CONSTR,SH-HIERARCHY
115,4,10,0.4,0.003,0,0.028,0,0,0.016,0,1,2,0.556,0.278
118,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
122,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
126,4,2,2,0.002,0.002,0.003,0.025,0,0.014,0.001,1,2,0.5,0
129,2,1,2,0.002,0,0.005,0,0,0,0,1,1,1,1
130,2,1,2,0,0.002,0,0.046,0,0,0,1,1,1,1
131,2,1,2,0,0.002,0,0.004,0,0,0.001,1,1,1,1
140,4,8,0.5,0.002,0.002,0.004,0.002,0,0,0,0.5,1,0.835,0.003
142,2,1,2,0,0.002,0,0.046,0,0,0.022,1,1,1,1
147,2,1,2,0,0.003,0,0.012,0,0,0,1,2,0.5,0
148,2,1,2,0,0.014,0,0.031,0,0,0.002,1,8,0.125,0
156,4,6,0.667,0.002,0.002,0.002,0.014,0,0,0.001,0.722,1.444,0.927,0.001
158,2,2,1,0,0.003,0,0.05,0,0,0.055,1,2,0.5,0
159,4,1,4,0.002,0,0.002,0,0,0.008,0,1,1,1,1
163,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
164,2,1,2,0.002,0,0.003,0,0,0,0,1,1,1,1
166,2,1,2,0.002,0,0.003,0,0,0.014,0,1,1,1,1
169,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
171,2,5,0.4,0.008,0,0.02,0,0,0.005,0,1,5,0.2,0
175,2,1,2,0,0.002,0,0.012,0,0,0.001,1,1,1,1
178,2,1,2,0.003,0,0.003,0,0,0,0,1,2,0.5,0
186,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
188,2,1,2,0,0.003,0,0.013,0,0,0.012,1,2,0.5,0
191,2,1,2,0.002,0,0.004,0,0,0,0,1,1,1,1
193,2,1,2,0.002,0,0.023,0,0,0.091,0,1,1,1,1
195,2,1,2,0.002,0,0.003,0,0,0.014,0,1,1,1,1
200,2,1,2,0.002,0,0.003,0,0,0,0,1,1,1,1
203,2,1,2,0,0.002,0,0.016,0,0,0,1,1,1,1
211,2,1,2,0.002,0,0.005,0,0,0,0,1,1,1,1
215,2,1,2,0,0.005,0,0.038,0,0,0,1,3,0.333,0
216,2,2,1,0,0.007,0,0.042,0,0,0.084,1,4,0.28,0.168
217,2,1,2,0,0.002,0,0.002,0,0,0.002,1,1,1,1
220,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
221,6,10,0.6,0.007,0.002,0.038,0.004,0.001,0.02,0,1,5,0.2,0
231,2,1,2,0.002,0,0.002,0,0,0.002,0,1,1,1,1
235,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
236,4,7,0.571,0.003,0.01,0.003,0.05,0.001,0,0,1,7,0.156,0.102
237,2,1,2,0.002,0,0.023,0,0,0,0,1,1,1,1
238,2,1,2,0.002,0,0.024,0,0,0.015,0,1,1,1,1
241,2,1,2,0.002,0,0.035,0,0,0,0,1,1,1,1
244,2,1,2,0.002,0,0.02,0,0,0,0,1,1,1,1
247,2,1,2,0.002,0,0.022,0,0,0,0,1,1,1,1
248,2,1,2,0.002,0,0.031,0,0,0.001,0,1,1,1,1
259,4,4,1,0.002,0.002,0.003,0.002,0,0.014,0,1,2,0.5,0
261,2,1,2,0.002,0,0.003,0,0,0.017,0,1,1,1,1
262,2,3,0.667,0.003,0,0.037,0,0,0.003,0,0.5,1,0.991,0.044
263,2,1,2,0.002,0,0.039,0,0,0,0,1,1,1,1
264,4,1,4,0.002,0.003,0.031,0.003,0.001,0,0,1,3,0.333,0
266,4,3,1.333,0.002,0.003,0.002,0.052,0.001,0,0.011,0.778,2.333,0.501,0.029
268,2,1,2,0.002,0,0.026,0,0,0.003,0,1,1,1,1
274,2,1,2,0.002,0,0.016,0,0,0.021,0,1,1,1,1
288,2,1,2,0.002,0,0.002,0,0,0.002,0,1,1,1,1
291,2,1,2,0,0.002,0,0.006,0,0,0,1,1,1,1
293,4,1,4,0.003,0,0.024,0,0,0.096,0,1,2,0.5,0
301,4,2,2,0.002,0.002,0.016,0.007,0,0.038,0.01,0.75,1.5,0.606,0
306,2,1,2,0.002,0,0.024,0,0,0,0,1,1,1,1
307,2,1,2,0,0.003,0,0.003,0,0,0.004,1,2,0.5,0
308,2,1,2,0,0.003,0,0.003,0,0,0,1,2,0.5,0
309,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
310,2,1,2,0.002,0,0.004,0,0,0.001,0,1,1,1,1
312,2,1,2,0,0.002,0,0.013,0,0,0,1,1,1,1
313,4,2,2,0.002,0,0.002,0,0,0.018,0,1,1,1,1
314,2,1,2,0,0.005,0,0.005,0,0,0,1,3,0.333,0
315,2,1,2,0,0.003,0,0.003,0,0,0,1,2,0.5,0
316,2,1,2,0.002,0,0.035,0,0,0.001,0,1,1,1,1
317,2,1,2,0.002,0,0.039,0,0,0,0,1,1,1,1
326,2,1,2,0.002,0,0.03,0,0,0,0,1,1,1,1
329,2,1,2,0.002,0,0.002,0,0,0.003,0,1,1,1,1
334,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
335,2,1,2,0.002,0,0.03,0,0,0,0,1,1,1,1
336,2,1,2,0.002,0,0.018,0,0,0,0,1,1,1,1
341,2,1,2,0,0.002,0,0.05,0,0,0.034,1,1,1,1
351,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
352,2,1,2,0,0.002,0,0.002,0,0,0.002,1,1,1,1
353,2,1,2,0,0.002,0,0.007,0,0,0.01,1,1,1,1
356,2,1,2,0,0.003,0,0.013,0,0,0.004,0.667,1.333,0.837,0.087
357,2,1,2,0,0.003,0,0.047,0,0,0,1,2,0.5,0
364,4,4,1,0.002,0,0.002,0,0,0.008,0,1,1,1,1
366,2,1,2,0,0.002,0,0.002,0,0,0,1,1,1,1
373,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
